,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1122,1123,44,Bertahan,Travel_Rarely,986,Research & Development,8,4,Life Sciences,1,1,Male,62,4,1,Laboratory Technician,4,Married,2818,5044,2,Y,Lembur,24,4,3,80,1,10,2,2,3,2,0,2
1123,1124,31,Bertahan,Travel_Rarely,182,Research & Development,8,5,Life Sciences,1,1,Female,93,3,4,Research Director,2,Single,16422,8847,3,Y,Tidak Lembur,11,3,3,80,0,9,3,4,3,2,1,0
1124,1125,33,Bertahan,Travel_Frequently,1111,Sales,5,1,Life Sciences,1,2,Male,61,3,2,Sales Executive,4,Married,9998,19293,6,Y,Tidak Lembur,13,3,1,80,0,8,2,4,5,4,1,2
1125,1126,30,Bertahan,Non-Travel,641,Sales,25,2,Technical Degree,1,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Y,Lembur,12,3,2,80,1,4,2,4,2,2,2,2
1126,1127,37,Bertahan,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,2,Female,65,3,2,Manufacturing Director,2,Married,6447,15701,6,Y,Tidak Lembur,12,3,2,80,1,8,2,2,6,5,4,3
1127,1128,29,Bertahan,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,3,Male,60,3,1,Research Scientist,4,Single,2340,22673,1,Y,Tidak Lembur,19,3,1,80,0,6,1,3,6,5,1,5
1129,1130,24,Keluar,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Y,Lembur,16,3,4,80,1,6,4,3,6,3,1,2
1130,1131,51,Bertahan,Travel_Rarely,632,Sales,21,4,Marketing,1,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Lembur,22,4,4,80,0,11,2,1,10,7,1,0
1131,1132,45,Bertahan,Travel_Rarely,1457,Research & Development,7,3,Medical,1,1,Female,83,3,1,Research Scientist,3,Married,4477,20100,4,Y,Lembur,19,3,3,80,1,7,2,2,3,2,0,2
1134,1135,44,Keluar,Travel_Rarely,621,Research & Development,15,3,Medical,1,1,Female,73,3,3,Healthcare Representative,4,Married,7978,14075,1,Y,Tidak Lembur,11,3,4,80,1,10,2,3,10,7,0,5
1135,1136,40,Bertahan,Travel_Frequently,791,Research & Development,2,2,Medical,1,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,Tidak Lembur,24,4,4,80,1,8,2,3,8,7,3,7
1136,1137,34,Bertahan,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,1,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,Y,Tidak Lembur,12,3,4,80,1,10,4,2,10,9,8,8
1137,1138,56,Bertahan,Travel_Rarely,1255,Research & Development,1,2,Life Sciences,1,1,Female,90,3,1,Research Scientist,1,Married,2066,10494,2,Y,Tidak Lembur,22,4,4,80,1,5,3,4,3,2,1,0
1139,1140,33,Bertahan,Travel_Rarely,924,Research & Development,2,3,Medical,1,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,Tidak Lembur,11,3,4,80,0,7,3,3,1,1,0,0
1140,1141,55,Bertahan,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,2,4,Healthcare Representative,2,Divorced,13577,25592,1,Y,Lembur,15,3,4,80,1,34,3,3,33,9,15,0
1141,1142,46,Bertahan,Travel_Rarely,406,Sales,3,1,Marketing,1,1,Male,52,3,4,Manager,3,Married,17465,15596,3,Y,Tidak Lembur,12,3,4,80,1,23,3,3,12,9,4,9
1142,1143,27,Bertahan,Non-Travel,210,Sales,1,1,Marketing,1,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Y,Lembur,13,3,4,80,1,6,0,3,5,4,1,4
1143,1144,45,Bertahan,Travel_Frequently,364,Research & Development,25,3,Medical,1,2,Female,83,3,5,Manager,2,Single,18061,13035,3,Y,Tidak Lembur,22,4,3,80,0,22,4,3,0,0,0,0
1144,1145,55,Bertahan,Travel_Rarely,1136,Research & Development,1,4,Medical,1,2,Male,81,4,4,Research Director,4,Divorced,14732,12414,2,Y,Tidak Lembur,13,3,4,80,2,31,4,4,7,7,0,0
1145,1146,27,Bertahan,Travel_Rarely,1291,Sales,11,3,Medical,1,3,Female,98,4,1,Sales Representative,4,Married,2534,6527,8,Y,Tidak Lembur,14,3,2,80,1,5,4,3,1,0,0,0
1147,1148,28,Bertahan,Travel_Rarely,760,Sales,2,4,Marketing,1,2,Female,81,3,2,Sales Executive,2,Married,4779,3698,1,Y,Lembur,20,4,1,80,0,8,2,3,8,7,7,5
1148,1149,42,Bertahan,Travel_Rarely,462,Sales,14,2,Medical,1,3,Female,68,2,2,Sales Executive,3,Single,6244,7824,7,Y,Tidak Lembur,17,3,1,80,0,10,6,3,5,4,0,3
1150,1151,29,Keluar,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,Y,Tidak Lembur,14,3,4,80,0,7,1,2,6,2,1,5
1152,1153,29,Bertahan,Travel_Rarely,942,Research & Development,15,1,Life Sciences,1,2,Female,69,1,1,Research Scientist,4,Married,2168,26933,0,Y,Lembur,18,3,1,80,1,6,2,2,5,4,1,3
1153,1154,47,Bertahan,Travel_Rarely,703,Sales,14,4,Marketing,1,4,Male,42,3,2,Sales Executive,1,Single,4960,11825,2,Y,Tidak Lembur,12,3,4,80,0,20,2,3,7,7,1,7
1154,1155,32,Bertahan,Travel_Frequently,116,Research & Development,13,3,Other,1,3,Female,77,2,1,Laboratory Technician,2,Married,2743,7331,1,Y,Tidak Lembur,20,4,3,80,1,2,2,3,2,2,2,2
1155,1156,24,Keluar,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Lembur,16,3,2,80,0,6,4,3,5,3,1,4
1156,1157,34,Bertahan,Travel_Rarely,404,Research & Development,2,4,Technical Degree,1,3,Female,98,3,2,Healthcare Representative,4,Single,6687,6163,1,Y,Tidak Lembur,11,3,4,80,0,14,2,4,14,11,4,11
1157,1158,37,Bertahan,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,2,Female,59,3,3,Manufacturing Director,4,Single,7491,23848,4,Y,Tidak Lembur,17,3,4,80,0,12,3,4,6,5,1,2
1158,1159,32,Bertahan,Non-Travel,976,Sales,26,4,Marketing,1,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,Y,Tidak Lembur,18,3,1,80,0,4,2,3,3,2,2,2
1159,1160,27,Bertahan,Travel_Rarely,1130,Sales,8,4,Marketing,1,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,Tidak Lembur,18,3,1,80,1,8,3,3,8,7,0,7
1161,1162,42,Bertahan,Travel_Rarely,269,Research & Development,2,3,Medical,1,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Y,Lembur,11,3,3,80,1,10,4,3,9,6,7,8
1163,1164,38,Bertahan,Travel_Rarely,243,Sales,7,4,Marketing,1,4,Female,46,2,2,Sales Executive,4,Single,4028,7791,0,Y,Tidak Lembur,20,4,1,80,0,8,2,3,7,7,0,5
1165,1166,49,Bertahan,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Y,Lembur,12,3,4,80,0,25,2,3,7,1,0,7
1167,1168,34,Bertahan,Travel_Rarely,216,Sales,1,4,Marketing,1,2,Male,75,4,2,Sales Executive,4,Divorced,9725,12278,0,Y,Tidak Lembur,11,3,4,80,1,16,2,2,15,1,0,9
1169,1170,40,Bertahan,Travel_Frequently,580,Sales,5,4,Life Sciences,1,4,Male,48,2,3,Sales Executive,1,Married,10475,23772,5,Y,Lembur,21,4,3,80,1,20,2,3,18,13,1,12
1170,1171,38,Bertahan,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Lembur,23,4,3,80,1,1,3,3,1,0,0,0
1171,1172,27,Bertahan,Non-Travel,443,Research & Development,3,3,Medical,1,4,Male,50,3,1,Research Scientist,4,Married,1706,16571,1,Y,Tidak Lembur,11,3,3,80,3,0,6,2,0,0,0,0
1173,1174,38,Bertahan,Non-Travel,1327,Sales,2,2,Life Sciences,1,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,Y,Tidak Lembur,18,3,4,80,1,13,0,3,8,7,7,5
1174,1175,47,Bertahan,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,Y,Tidak Lembur,11,3,2,80,1,21,2,3,3,2,1,1
1175,1176,38,Bertahan,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,4,Male,54,3,2,Manufacturing Director,4,Married,6261,4185,3,Y,Tidak Lembur,18,3,1,80,1,9,3,1,7,7,1,7
1176,1177,30,Bertahan,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,Y,Tidak Lembur,14,3,3,80,0,5,4,2,5,4,0,4
1177,1178,28,Bertahan,Travel_Frequently,773,Research & Development,6,3,Life Sciences,1,3,Male,39,2,1,Research Scientist,3,Divorced,2703,22088,1,Y,Lembur,14,3,4,80,1,3,2,3,3,1,0,2
1178,1179,27,Bertahan,Travel_Rarely,798,Research & Development,6,4,Medical,1,1,Female,66,2,1,Research Scientist,3,Divorced,2187,5013,0,Y,Tidak Lembur,12,3,3,80,2,6,5,2,5,3,0,3
1179,1180,46,Bertahan,Travel_Rarely,991,Human Resources,1,2,Life Sciences,1,4,Female,44,3,1,Human Resources,1,Single,3423,22957,6,Y,Tidak Lembur,12,3,3,80,0,10,3,4,7,6,5,7
1180,1181,40,Keluar,Non-Travel,1479,Sales,24,3,Life Sciences,1,2,Female,100,4,4,Sales Executive,2,Single,13194,17071,4,Y,Lembur,16,3,4,80,0,22,2,2,1,0,0,0
1181,1182,55,Bertahan,Travel_Rarely,282,Research & Development,2,2,Medical,1,4,Female,58,1,5,Manager,3,Married,19187,6992,4,Y,Tidak Lembur,14,3,4,80,1,23,5,3,19,9,9,11
1182,1183,26,Bertahan,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,Y,Tidak Lembur,22,4,2,80,2,3,3,1,3,2,0,2
1183,1184,35,Bertahan,Travel_Frequently,636,Research & Development,4,4,Other,1,4,Male,47,2,1,Laboratory Technician,4,Married,2376,26537,1,Y,Tidak Lembur,13,3,2,80,1,2,2,4,2,2,2,2
1184,1185,42,Bertahan,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,3,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,Y,Tidak Lembur,13,3,2,80,2,10,4,3,10,2,2,2
1185,1186,40,Bertahan,Travel_Rarely,107,Sales,10,3,Technical Degree,1,2,Female,84,2,2,Sales Executive,2,Divorced,6852,11591,7,Y,Tidak Lembur,12,3,2,80,1,7,2,4,5,1,1,3
1186,1187,19,Bertahan,Travel_Rarely,1181,Research & Development,3,1,Medical,1,2,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,Y,Tidak Lembur,14,3,4,80,0,1,3,3,1,0,0,0
1188,1189,39,Keluar,Non-Travel,592,Research & Development,2,3,Life Sciences,1,1,Female,54,2,1,Laboratory Technician,1,Single,3646,17181,2,Y,Lembur,23,4,2,80,0,11,2,4,1,0,0,0
1190,1191,49,Bertahan,Travel_Rarely,1490,Research & Development,7,4,Life Sciences,1,3,Male,35,3,3,Healthcare Representative,2,Divorced,10466,20948,3,Y,Tidak Lembur,14,3,2,80,2,29,3,3,8,7,0,7
1191,1192,20,Bertahan,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,Y,Tidak Lembur,13,3,4,80,0,1,0,4,1,0,0,0
1192,1193,32,Bertahan,Travel_Rarely,906,Sales,7,3,Life Sciences,1,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,Y,Tidak Lembur,14,3,3,80,1,13,3,2,13,8,4,8
1193,1194,36,Bertahan,Non-Travel,635,Sales,10,4,Medical,1,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,Y,Tidak Lembur,14,3,4,80,0,10,3,2,10,3,9,7
1194,1195,43,Bertahan,Travel_Frequently,394,Sales,26,2,Life Sciences,1,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Lembur,12,3,4,80,2,25,3,4,25,12,4,12
1195,1196,26,Bertahan,Travel_Frequently,575,Research & Development,1,2,Life Sciences,1,1,Female,71,1,1,Laboratory Technician,4,Divorced,4364,5288,3,Y,Tidak Lembur,14,3,1,80,1,5,2,3,2,2,2,0
1196,1197,27,Keluar,Travel_Rarely,1420,Sales,2,1,Marketing,1,3,Male,85,3,1,Sales Representative,1,Divorced,3041,16346,0,Y,Tidak Lembur,11,3,2,80,1,5,3,3,4,3,0,2
1197,1198,42,Bertahan,Travel_Frequently,1474,Research & Development,5,2,Other,1,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4,Y,Tidak Lembur,17,3,4,80,1,8,4,3,2,2,2,0
1198,1199,34,Bertahan,Travel_Rarely,1326,Sales,3,3,Other,1,4,Male,81,1,2,Sales Executive,1,Single,4759,15891,3,Y,Tidak Lembur,18,3,4,80,0,15,2,3,13,9,3,12
1199,1200,55,Keluar,Travel_Rarely,267,Sales,13,4,Marketing,1,1,Male,85,4,4,Sales Executive,3,Single,13695,9277,6,Y,Lembur,17,3,3,80,0,24,2,2,19,7,3,8
1200,1201,42,Bertahan,Travel_Rarely,1265,Research & Development,3,3,Life Sciences,1,3,Female,95,4,2,Laboratory Technician,4,Married,5231,23726,2,Y,Lembur,13,3,2,80,1,17,1,2,5,3,1,3
1202,1203,33,Bertahan,Travel_Frequently,970,Sales,7,3,Life Sciences,1,4,Female,30,3,2,Sales Executive,2,Married,4302,13401,0,Y,Tidak Lembur,17,3,3,80,1,4,3,3,3,2,0,2
1203,1204,30,Bertahan,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,Tidak Lembur,22,4,2,80,1,1,2,3,1,0,0,0
1204,1205,35,Bertahan,Travel_Rarely,982,Research & Development,1,4,Medical,1,4,Male,58,2,1,Laboratory Technician,3,Married,2258,16340,6,Y,Tidak Lembur,12,3,2,80,1,10,2,3,8,0,1,7
1205,1206,42,Bertahan,Travel_Rarely,647,Sales,4,4,Marketing,1,2,Male,45,3,2,Sales Executive,1,Single,5155,2253,7,Y,Tidak Lembur,13,3,4,80,0,9,3,4,6,4,1,5
1206,1207,40,Bertahan,Travel_Frequently,1469,Research & Development,9,4,Medical,1,4,Male,35,3,1,Research Scientist,2,Divorced,3617,25063,8,Y,Lembur,14,3,4,80,1,3,2,3,1,1,0,0
1207,1208,34,Bertahan,Travel_Rarely,304,Sales,2,3,Other,1,4,Male,60,3,2,Sales Executive,4,Single,6274,18686,1,Y,Tidak Lembur,22,4,3,80,0,6,5,3,6,5,1,4
1208,1209,50,Bertahan,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Male,88,2,4,Manager,3,Married,17046,9314,0,Y,Tidak Lembur,15,3,2,80,1,28,2,3,27,10,15,7
1209,1210,45,Bertahan,Travel_Rarely,1316,Research & Development,29,3,Medical,1,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5,Y,Tidak Lembur,13,3,2,80,0,9,2,2,6,5,0,3
1210,1211,21,Keluar,Travel_Rarely,156,Sales,12,3,Life Sciences,1,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,Tidak Lembur,15,3,4,80,0,1,0,3,1,0,0,0
1211,1212,37,Bertahan,Travel_Rarely,1017,Research & Development,1,2,Medical,1,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,Y,Tidak Lembur,14,3,1,80,1,17,2,2,3,1,0,2
1212,1213,33,Bertahan,Travel_Frequently,508,Sales,10,3,Marketing,1,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,Y,Tidak Lembur,14,3,3,80,0,9,6,2,7,7,0,1
1215,1216,47,Bertahan,Travel_Rarely,202,Research & Development,2,2,Other,1,3,Female,33,3,4,Manager,4,Married,16752,12982,1,Y,Lembur,11,3,3,80,1,26,3,2,26,14,3,0
1216,1217,30,Keluar,Travel_Frequently,448,Sales,12,4,Life Sciences,1,2,Male,74,2,1,Sales Representative,1,Married,2033,14470,1,Y,Tidak Lembur,18,3,3,80,1,1,2,4,1,0,0,0
1217,1218,27,Bertahan,Travel_Rarely,608,Research & Development,1,2,Life Sciences,1,3,Female,68,3,3,Manufacturing Director,1,Married,7412,6009,1,Y,Tidak Lembur,11,3,4,80,0,9,3,3,9,7,0,7
1219,1220,50,Bertahan,Non-Travel,881,Research & Development,2,4,Life Sciences,1,1,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,Tidak Lembur,11,3,4,80,1,31,3,3,31,6,14,7
1220,1221,29,Keluar,Travel_Rarely,805,Research & Development,1,2,Life Sciences,1,2,Female,36,2,1,Laboratory Technician,1,Married,2319,6689,1,Y,Lembur,11,3,4,80,1,1,1,3,1,0,0,0
1221,1222,36,Bertahan,Travel_Rarely,329,Sales,16,4,Marketing,1,3,Female,98,2,2,Sales Executive,1,Married,5647,13494,4,Y,Tidak Lembur,13,3,1,80,2,11,3,2,3,2,0,2
1222,1223,45,Bertahan,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,Tidak Lembur,17,3,3,80,1,25,2,3,1,0,0,0
1223,1224,50,Keluar,Travel_Frequently,562,Sales,8,2,Technical Degree,1,2,Male,50,3,2,Sales Executive,3,Married,6796,23452,3,Y,Lembur,14,3,1,80,1,18,4,3,4,3,1,3
1226,1227,33,Bertahan,Travel_Frequently,827,Research & Development,1,4,Other,1,3,Female,84,4,2,Healthcare Representative,2,Married,5488,20161,1,Y,Lembur,13,3,1,80,1,6,2,3,6,5,1,2
1227,1228,46,Bertahan,Travel_Rarely,150,Research & Development,2,4,Technical Degree,1,4,Male,60,3,2,Manufacturing Director,4,Divorced,7379,17433,2,Y,Tidak Lembur,11,3,3,80,1,12,3,2,6,3,1,4
1230,1231,54,Bertahan,Travel_Rarely,397,Human Resources,19,4,Medical,1,3,Male,88,3,3,Human Resources,2,Married,10725,6729,2,Y,Tidak Lembur,15,3,3,80,1,16,1,4,9,7,7,1
1231,1232,47,Bertahan,Travel_Rarely,249,Sales,2,2,Marketing,1,3,Female,35,3,2,Sales Executive,4,Married,4537,17783,0,Y,Lembur,22,4,1,80,1,8,2,3,7,6,7,7
1232,1233,33,Bertahan,Travel_Rarely,1216,Sales,8,4,Marketing,1,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,0,Y,Tidak Lembur,12,3,4,80,0,6,3,3,5,0,1,2
1233,1234,35,Bertahan,Travel_Rarely,607,Research & Development,9,3,Life Sciences,1,4,Female,66,2,3,Manufacturing Director,3,Married,10685,23457,1,Y,Lembur,20,4,2,80,1,17,2,3,17,14,5,15
1234,1235,39,Bertahan,Non-Travel,439,Research & Development,9,3,Life Sciences,1,3,Male,70,3,2,Laboratory Technician,2,Single,6782,8770,9,Y,Tidak Lembur,15,3,3,80,0,9,2,2,5,4,0,3
1235,1236,38,Bertahan,Travel_Rarely,688,Research & Development,23,4,Life Sciences,1,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,Y,Tidak Lembur,14,3,2,80,1,10,2,3,2,2,1,2
1237,1238,54,Bertahan,Travel_Rarely,1082,Sales,2,4,Life Sciences,1,3,Female,41,2,3,Sales Executive,3,Married,10686,8392,6,Y,Tidak Lembur,11,3,2,80,1,13,4,3,9,4,7,0
1238,1239,37,Bertahan,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Y,Lembur,12,3,4,80,0,18,2,2,1,0,0,1
1239,1240,20,Bertahan,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1,Male,87,2,1,Laboratory Technician,3,Single,3033,12828,1,Y,Tidak Lembur,12,3,1,80,0,2,2,2,2,2,1,2
1240,1241,40,Bertahan,Travel_Frequently,720,Research & Development,16,4,Medical,1,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,Tidak Lembur,14,3,4,80,0,10,6,3,1,0,0,0
1241,1242,51,Bertahan,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Lembur,24,4,1,80,1,31,5,2,29,10,11,10
1242,1243,34,Keluar,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Lembur,24,4,4,80,0,9,3,3,9,7,0,6
1243,1244,34,Bertahan,Travel_Rarely,401,Research & Development,1,3,Life Sciences,1,4,Female,86,2,1,Laboratory Technician,2,Married,3294,3708,5,Y,Tidak Lembur,17,3,1,80,1,7,2,2,5,4,0,2
1244,1245,42,Bertahan,Travel_Rarely,319,Research & Development,24,3,Medical,1,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Y,Lembur,21,4,4,80,1,10,5,2,10,9,5,8
1248,1249,30,Bertahan,Non-Travel,990,Research & Development,7,3,Technical Degree,1,3,Male,64,3,1,Research Scientist,3,Divorced,1274,7152,1,Y,Tidak Lembur,13,3,2,80,2,1,2,2,1,0,0,0
1250,1251,50,Bertahan,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,1,3,Female,53,3,5,Manager,2,Single,19926,17053,3,Y,Tidak Lembur,15,3,2,80,0,21,5,3,5,4,4,4
1252,1253,31,Bertahan,Travel_Rarely,1082,Research & Development,1,4,Medical,1,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,Tidak Lembur,17,3,2,80,0,1,4,3,1,1,1,0
1254,1255,41,Bertahan,Travel_Frequently,1200,Research & Development,22,3,Life Sciences,1,4,Female,75,3,2,Research Scientist,4,Divorced,5467,13953,3,Y,Lembur,14,3,1,80,2,12,4,2,6,2,3,3
1256,1257,41,Bertahan,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,4,Male,91,2,4,Manager,1,Divorced,17181,12888,4,Y,Tidak Lembur,13,3,2,80,1,21,2,2,7,6,7,7
1257,1258,52,Bertahan,Travel_Rarely,1053,Research & Development,1,2,Life Sciences,1,4,Male,70,3,4,Manager,4,Married,17099,13829,2,Y,Tidak Lembur,15,3,2,80,1,26,2,2,9,8,7,8
1258,1259,40,Bertahan,Travel_Rarely,523,Research & Development,2,3,Life Sciences,1,3,Male,98,3,2,Research Scientist,4,Single,4661,22455,1,Y,Tidak Lembur,13,3,3,80,0,9,4,3,9,8,8,8
1259,1260,49,Bertahan,Travel_Frequently,636,Research & Development,10,4,Life Sciences,1,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Y,Lembur,11,3,4,80,0,22,4,3,3,2,1,2
1260,1261,27,Bertahan,Travel_Rarely,205,Sales,10,3,Marketing,1,4,Female,98,2,2,Sales Executive,4,Married,5769,7100,1,Y,Lembur,11,3,4,80,0,6,3,3,6,2,4,4
1261,1262,38,Bertahan,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Lembur,11,3,3,80,0,6,3,3,3,2,1,2
1262,1263,51,Bertahan,Travel_Frequently,541,Sales,2,3,Marketing,1,2,Male,52,3,3,Sales Executive,2,Married,10596,15395,2,Y,Tidak Lembur,11,3,2,80,0,14,5,3,4,2,3,2
1263,1264,40,Bertahan,Travel_Rarely,896,Research & Development,2,3,Medical,1,3,Male,68,3,1,Research Scientist,3,Divorced,2345,8045,2,Y,Tidak Lembur,14,3,3,80,1,8,3,4,3,1,1,2
1264,1265,29,Bertahan,Travel_Rarely,1401,Research & Development,6,1,Medical,1,2,Female,54,3,1,Laboratory Technician,4,Married,3131,26342,1,Y,Tidak Lembur,13,3,1,80,1,10,5,3,10,8,0,8
1265,1266,40,Bertahan,Travel_Rarely,658,Sales,10,4,Marketing,1,1,Male,67,2,3,Sales Executive,2,Divorced,9705,20652,2,Y,Tidak Lembur,12,3,2,80,1,11,2,2,1,0,0,0
1268,1269,30,Bertahan,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,Tidak Lembur,20,4,3,80,0,11,2,3,5,4,0,2
1270,1271,29,Bertahan,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,Y,Tidak Lembur,12,3,2,80,2,8,2,4,3,2,1,2
1271,1272,35,Bertahan,Travel_Rarely,662,Sales,1,5,Marketing,1,3,Male,94,3,3,Sales Executive,2,Married,7295,11439,1,Y,Tidak Lembur,13,3,1,80,2,10,3,3,10,8,0,6
1272,1273,45,Bertahan,Travel_Rarely,1234,Sales,11,2,Life Sciences,1,4,Female,90,3,4,Manager,4,Married,17650,5404,3,Y,Tidak Lembur,13,3,2,80,1,26,4,4,9,3,1,1
1274,1275,43,Bertahan,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,1,3,Female,83,3,3,Manufacturing Director,1,Married,10820,11535,8,Y,Tidak Lembur,11,3,3,80,1,18,1,3,8,7,0,1
1276,1277,47,Bertahan,Travel_Rarely,359,Research & Development,2,4,Medical,1,1,Female,82,3,4,Research Director,3,Married,17169,26703,3,Y,Tidak Lembur,19,3,2,80,2,26,2,4,20,17,5,6
1277,1278,51,Bertahan,Travel_Rarely,1405,Research & Development,11,2,Technical Degree,1,4,Female,82,2,4,Manufacturing Director,2,Single,13142,24439,3,Y,Tidak Lembur,16,3,2,80,0,29,1,2,5,2,0,3
1278,1279,46,Bertahan,Travel_Rarely,566,Research & Development,7,2,Medical,1,4,Male,75,3,3,Manufacturing Director,3,Divorced,10845,24208,6,Y,Tidak Lembur,13,3,2,80,1,13,3,3,8,7,0,7
1279,1280,44,Keluar,Travel_Rarely,1376,Human Resources,1,2,Medical,1,2,Male,91,2,3,Human Resources,1,Married,10482,2326,9,Y,Tidak Lembur,14,3,4,80,1,24,1,3,20,6,3,6
1280,1281,29,Bertahan,Travel_Rarely,694,Research & Development,1,3,Life Sciences,1,4,Female,87,2,4,Research Director,4,Divorced,16124,3423,3,Y,Tidak Lembur,14,3,2,80,2,9,2,2,7,7,1,7
1281,1282,46,Bertahan,Travel_Rarely,526,Sales,1,2,Marketing,1,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1,Y,Tidak Lembur,25,4,3,80,3,24,2,3,24,13,15,7
1284,1285,29,Keluar,Travel_Rarely,341,Sales,1,3,Medical,1,2,Female,48,2,1,Sales Representative,3,Divorced,2800,23522,6,Y,Lembur,19,3,3,80,3,5,3,3,3,2,0,2
1285,1286,40,Bertahan,Travel_Rarely,759,Sales,2,2,Marketing,1,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,Y,Tidak Lembur,12,3,3,80,2,8,5,3,5,4,1,3
